id,budget,revenue,title,imdb_id,release_date,gross,budget_new,budget_final,opening_weekend,cum_worldwide,revenue_final
94901,2500000,3003,About Cherry,tt1945062,2012-02-14,"{'Budget': '$2,500,000 (estimated)', 'Opening Weekend United States': '$2,760, 23 Sep 2012'}",2500000,2500000,2760,3003,8315
89691,3000000,3010,ATM,tt1603257,2012-02-17,"{'Budget': '$3,000,000 (estimated)', 'Opening Weekend United States': '$2,034, 08 Apr 2012'}",3000000,3000000,2034,3010,921752
31287,15000,3274,Eegah,tt0055946,1962-06-08,"{'Budget': '$15,000 (estimated)'}",15000,15000,3274,3274,
390051,10500000,3451,Aftermath,tt4581576,2017-04-06,"{'Budget': '$10,500,000 (estimated)'}",10500000,10500000,3451,3451,840809
174316,20000000,4187,A Case of You,tt1817081,2013-11-06,None,20000000,20000000,4187,4187,116559
333386,10000000,4500,The Duel,tt2436682,2016-06-24,"{'Budget': '$10,000,000 (estimated)'}",10000000,10000000,4500,4500,20672
347945,20000000,4505,Synchronicity,tt2049543,2015-07-22,"{'Opening Weekend United States': '$2,859, 24 Jan 2016'}",20000000,20000000,2859,4505,4505
330112,20000000,4631,Ashby,tt3774466,2015-04-19,"{'Opening Weekend United States': '$4,631, 27 Sep 2015'}",20000000,20000000,4631,4631,122919
65650,6000000,5206,The Good Doctor,tt1582271,2011-01-01,"{'Budget': '$6,000,000 (estimated)', 'Opening Weekend United States': '$3,180, 02 Sep 2012'}",6000000,6000000,3180,5206,51017
185158,20000000,5965,The Grace Lee Project,tt0451070,2005-03-11,"{'Opening Weekend United States': '$4,225, 18 Dec 2005'}",20000000,20000000,4225,5965,5965
248574,20000000,6075,Barely Lethal,tt1731701,2015-04-30,"{'Budget': '$15,000,000 (estimated)'}",15000000,15000000,6075,6075,933847
158916,7000000,6147,Sweetwater,tt2224004,2013-01-24,"{'Budget': '$7,000,000 (estimated)'}",7000000,7000000,6147,6147,6147
37857,20000000,6297,Don's Plum,tt0119004,2001-02-10,None,20000000,20000000,6297,6297,41939
174341,20000000,6420,Some Velvet Morning,tt2231138,2013-12-10,"{'Budget': '$2,000,000 (estimated)'}",2000000,2000000,6420,6420,6420
371447,20000000,6700,Lovesong,tt4305148,2017-02-17,"{'Opening Weekend United States': '$2,215, 17 Feb 2017'}",20000000,20000000,2215,6700,10626
342165,20000000,7000,Too Late,tt2394063,2016-03-25,"{'Opening Weekend United States': '$7,000, 20 Mar 2016'}",20000000,20000000,7000,7000,60438
193726,20000000,7171,ABCs of Death 2,tt2926810,2014-10-02,"{'Opening Weekend United States': '$4,022, 31 Oct 2014'}",20000000,20000000,4022,7171,7171
13856,1000000,7202,Special,tt0479162,2006-01-30,"{'Budget': '$1,000,000 (estimated)', 'Opening Weekend United States': '$3,232, 23 Nov 2008'}",1000000,1000000,3232,7202,
293262,20000000,7205,I Am Ali,tt4008652,2014-10-10,None,20000000,20000000,7205,7205,7205
38850,2000000,7306,Stolen,tt1139282,2009-10-10,"{'Budget': '$2,000,000 (estimated)', 'Opening Weekend United States': '$1,391, 19 Mar 2010'}",2000000,2000000,1391,7306,7943
166879,20000000,7965,One Small Hitch,tt1937269,2013-02-14,"{'Budget': '$500,000 (estimated)', 'Opening Weekend United States': '$5,328, 08 Feb 2015'}",500000,500000,5328,7965,20700
50838,20000000,8020,Wrecked,tt1316622,2010-12-04,"{'Opening Weekend United States': '$2,054, 01 Apr 2011'}",20000000,20000000,2054,8020,229532
253254,20000000,8251,Before I Disappear,tt3060492,2014-10-11,"{'Opening Weekend United States': '$2,676, 28 Nov 2014'}",20000000,20000000,2676,8251,10078
260001,20000000,8265,Life Partners,tt2870808,2014-12-05,"{'Opening Weekend United States': '$2,665, 05 Dec 2014'}",20000000,20000000,2665,8265,8265
