id,imdb_id,budget_old_new,budget_scrape
1623,tt0080474,0.0,9000000 
13612,tt0080520,0.0,0
9081,tt0243017,0.0,0
16441,tt0083630,0.0,8000000 
3537,tt0080716,0.0,0
8738,tt0080736,0.0,12000000 
42566,tt0082350,0.0,3800000 
23111,tt0087747,0.0,13000000 
19209,tt0094318,0.0,0
31603,tt0080754,0.0,13200000 
32020,tt0080756,0.0,0
31955,tt0087751,0.0,11000000 
50819,tt0294289,0.0,0
52744,tt0087233,0.0,12000000 
21845,tt0107985,0.0,10000000 
11528,tt0108037,0.0,0
25006,tt0301893,0.0,0
19050,tt0075718,0.0,0
13225,tt0104254,0.0,24000000 
10889,tt0080798,0.0,0
54287,tt0080836,0.0,11000000 
44004,tt0080863,0.0,0
24825,tt0081259,0.0,4000000 
24032,tt0076489,0.0,0
18172,tt0085154,0.0,5600000 
28124,tt0081480,0.0,0
12705,tt0081529,0.0,0
11006,tt0076729,0.0,4300000 
15120,tt0086325,0.0,0
21629,tt0081562,0.0,0
24585,tt0089167,0.0,0
11590,tt0076723,0.0,0
2565,tt0099892,0.0,25000000 
21970,tt0081738,0.0,0
10491,tt0157583,0.0,0
73462,tt0088758,0.0,0
10164,tt0099204,0.0,0
20712,tt0103253,0.0,0
13963,tt0077838,0.0,0
24008,tt0044916,0.0,0
103299,tt0105631,0.0,0
17043,tt0305396,0.0,13000000 
9296,tt0258153,0.0,0
24038,tt0094597,0.0,0
26056,tt0275688,0.0,0
16370,tt0106315,0.0,14000000 
18913,tt0099128,0.0,0
41582,tt0110557,0.0,0
23470,tt0108258,0.0,0
233,tt0080117,0.0,0
50123,tt0284494,0.0,0
12719,tt0099581,0.0,0
12590,tt0276816,0.0,40000000 
19973,tt0328962,0.0,0
12600,tt0287635,0.0,0
49872,tt0293832,0.0,0
140413,tt0082001,0.0,14000000 
26560,tt0082200,0.0,0
19114,tt0082329,0.0,0
24740,tt0082334,0.0,9000000 
47886,tt0082748,0.0,300000 
13098,tt0259484,0.0,0
13441,tt0299117,0.0,0
10750,tt0103112,0.0,10000000 
47888,tt0083006,0.0,16000000 
14664,tt0083064,0.0,0
11524,tt0083190,0.0,5500000 
13376,tt0271263,0.0,34000000 
31665,tt0083619,0.0,11000000 
11852,tt0302640,0.0,0
32074,tt0101606,0.0,18000000 
23626,tt0330069,0.0,0
11078,tt0271668,0.0,0
26393,tt0118772,0.0,0
15278,tt0106500,0.0,6000000 
53027,tt0102500,0.0,10000000 
24742,tt0089981,0.0,0
1647,tt0292506,0.0,46000000 
32065,tt0083960,0.0,5000000 
10150,tt0084237,0.0,3500000 
15600,tt0084335,0.0,9500000 
52772,tt0084675,0.0,12000000 
46925,tt0084690,0.0,0
9699,tt0084814,0.0,6000000 
24883,tt0085248,0.0,0
12157,tt0099699,0.0,12500000 
11571,tt0052948,0.0,3440000 
11523,tt0264150,0.0,30000000 
79615,tt0094020,0.0,0
24621,tt0323572,0.0,0
14237,tt0109327,0.0,0
12661,tt0108442,0.0,0
47329,tt0100691,0.0,0
251053,tt0314871,0.0,0
1816,tt0088915,0.0,27000000 
22201,tt0050468,0.0,2000000 
5146,tt0314786,0.0,40000000 
2260,tt0342172,0.0,0
11145,tt0079100,0.0,12500000 
11916,tt0065134,0.0,2500000 
8092,tt0108330,0.0,0
2263,tt0100211,0.0,0
53380,tt0150338,0.0,0
61225,tt0103747,0.0,0
18722,tt0104926,0.0,40000000 
33339,tt0342167,0.0,0
24993,tt0102202,0.0,0
10553,tt0089901,0.0,0
21512,tt0094764,0.0,AUD10000000 
9499,tt0306734,0.0,0
2771,tt0305206,0.0,0
14881,tt0068768,0.0,0
9051,tt0078721,0.0,0
936,tt0057413,0.0,0
99006,tt0264802,0.0,0
112961,tt0317950,0.0,0
27590,tt0089222,0.0,0
40353,tt0097557,0.0,0
34564,tt0100608,0.0,0
12767,tt0331468,0.0,0
37672,tt0078199,0.0,0
16563,tt0047472,0.0,0
11806,tt0103786,0.0,0
36349,tt0090735,0.0,0
9874,tt0090859,0.0,25000000 
11707,tt0088272,0.0,0
13339,tt0094138,0.0,6000000 
26850,tt0105691,0.0,6000000 
37943,tt0083906,0.0,0
33633,tt0110722,0.0,0
47866,tt0104321,0.0,0
54973,tt0342300,0.0,0
2348,tt0110044,0.0,0
62327,tt0095916,0.0,0
43708,tt0322023,0.0,0
11846,tt0101862,0.0,0
4823,tt0104265,0.0,32000000 
8289,tt0085615,0.0,15000000 
11002,tt0087365,0.0,30000000 
11384,tt0102004,0.0,24000000 
2007,tt0104756,0.0,30000000 
2611,tt0102598,0.0,0
